line,label
"amphitheater, a circular arena—except that they all looked brand new, their",1
“Chiron had to—what’s that noise?” Luke yelled.,1
smell.”,1
Percy! Separate! Remember what I said.”,1
"were trying to be brave for my sake, trying to make me feel better.",1
“Done…with what?”,1
"Last day of school. My mom was right, I should have been excited. For",1
"I pointed at the storm. “What the heck is that, then?”",1
“But…he knew me as a baby.”,1
morning game against the satyrs. Dionysus’s twins were walking around in,1
To be precise: a lightning bolt.”,1
"“Because you’re my friend, Seaweed Brain. Any more stupid questions?”",1
“My mom?”,1
"My mother must’ve been exhausted, but she shouldered Grover. “Go,",1
chin with the spoon.,1
"took a behind-the-scenes tour of the Marine World shark pool, I sort of hit the",1
I’m trying to get up my courage to tell him. But you can’t do this for me. You,1
"sparring until one of us pulls it off. Ready, Percy?”",1
"had bent, momentarily, and woven the air into glass. The goblet filled itself",1
16. We Take a Zebra to Vegas,0
Hades loosed a ball of gold fire from his palm. It exploded on the steps in,1
"“His sight and hearing are terrible,” she said. “He goes by smell. But he’ll",1
of the house.,1
"John, but that’s what we’re hearing. Again, no confirmed fatalities…”",1
"this, okay? In case you need me this summer.”",1
"My mother took my arm. “Please, Percy. Come on. We’ll go to your",1
in its mouth.,1
thanks to us half-bloods.”,1
"Revolutionary War cannon. I wasn’t aiming for the school bus, but of course",1
of heroic skill people expected to see from the kid who had beaten the,1
to go home now.”,1
"you made it here alive, and that’s always the first test.”",1
accomplished as much.”,1
"When we were a few feet away, Annabeth said, “Jackson, you have to do",1
"see him, to feel like I was back at camp even for a few minutes, that I didn’t",1
"But then her smile returned, and I figured I must have been mistaken. She",1
"“Thanks for the advice,” she said coldly, “but my father’s made his",1
"“Good boy,” I said weakly.",1
"this whole quest, for getting us blown off the road and in two major fights the",1
I kept my eyes locked on the gazing ball so I would only glimpse,1
"second, then jump out of the way—directly sideways. He can’t change",1
"of my brood. For I am the Mother of Monsters, the terrible Echidna!”",1
"“Demigods,” Annabeth said. “That’s the official term. Or half-bloods.”",1
"territories except by invitation. That is another ancient rule. Heroes, on the",1
"dog thoughts toward Cerberus—Alpo commercials, cute little puppies, fire",1
"Gabe’s poker parties, except I got the feeling this guy could’ve out-gambled",1
"the New York Daily News, opened to the Metro page. The article took me",1
was already on probation. The headmaster had threatened me with death by,1
And then he did rise from his wheelchair. But there was something odd,1
"I turned just as water blasted out of the toilet again, hitting Clarisse",1
and part of you wants to make him proud. That’s why you mailed Medusa’s,1
"Luke came over, the banner in his hand forgotten, his moment of glory",1
from quivering. “I thought you said they could be dispelled for a lifetime.”,1
